基金代码,基金简称,期间涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,手续费
168204,中融中证煤炭指数(LOF)A,ZRZZMTZSLOFA,34.1552,,0,2021-11-09,1.379,1.379,2022-11-08,1.85,1.85,2015-06-25,1,0.00%,,,,
002938,中银证券健康产业混合,ZYZQJKCYHH,33.3972,,0,2021-11-09,1.8786,1.8786,2022-11-08,2.506,2.506,2016-09-07,1,0.15%,1,0.15%,1,1.50%
519198,万家颐和灵活配置混合A,WJYHLHPZHHA,31.4179,,0,2021-11-09,1.2843,1.7843,2022-11-08,1.6878,2.1878,2016-06-23,1,0.15%,1,0.15%,1,1.50%
002910,易方达供给改革混合,YFDGJGGHH,29.7285,,0,2021-11-09,2.2322,2.2322,2022-11-08,2.8958,2.8958,2017-01-25,1,0.15%,1,0.15%,1,1.50%
014263,鑫元长三角混合A,XYCSJHHA,29.01,,0,2022-03-30,1,1,2022-11-08,1.2901,1.2901,2022-03-30,1,0.12%,1,0.12%,1,1.20%
159618,华安中证光伏产业ETF,HAZZGFCYETF,28.84,,0,2022-04-08,1,1,2022-11-08,1.2884,1.2884,2022-04-08,,,,,,
014264,鑫元长三角混合C,XYCSJHHC,28.69,,0,2022-03-30,1,1,2022-11-08,1.2869,1.2869,2022-03-30,1,0.00%,,,,
159945,广发中证全指能源ETF,GFZZQZNYETF,28.5350,,0,2021-11-09,0.7843,0.7843,2022-11-08,1.0081,1.0081,2015-06-25,,,,,,
015773,招商移动互联网产业股票基金C,ZSYDHLWCYGPJJC,27.418412,,0,2022-05-13,1.1981,1.1981,2022-11-08,1.5266,1.5266,2022-05-13,1,0.00%,,,,
005505,前海开源中药股票A,QHKYZYGPA,27.2875,,0,2021-11-09,1.8481,1.8481,2022-11-08,2.3524,2.3524,2018-03-21,1,0.15%,1,0.15%,1,1.50%
005506,前海开源中药股票C,QHKYZYGPC,26.9683,,0,2021-11-09,1.8366,1.8366,2022-11-08,2.3319,2.3319,2018-03-21,1,0.00%,,,,
013851,中信建投低碳成长混合A,ZXJTDTCZHHA,26.71,,0,2021-12-13,1,1,2022-11-08,1.2671,1.2671,2021-12-13,1,0.15%,1,0.15%,1,1.50%
161724,招商中证煤炭等权指数(LOF)A,ZSZZMTDQZSLOFA,26.6958,,0,2021-11-09,1.4433,1.0425,2022-11-08,1.8286,1.2988,2015-05-20,1,0.10%,1,0.10%,1,1.00%
013596,招商中证煤炭等权指数(LOF)C,ZSZZMTDQZSLOFC,26.5835,,0,2021-11-09,1.443,1.443,2022-11-08,1.8266,1.8266,2021-09-13,1,0.00%,,,,
003406,南方多元定开债券,NFDYDKZQ,26.4408,0.258,8,2021-11-09,1.2497,1.4104,2022-11-08,1.2587,1.6774,2016-09-29,6,0.08%,1,0.08%,1,0.80%
013852,中信建投低碳成长混合C,ZXJTDTCZHHC,26.26,,0,2021-12-13,1,1,2022-11-08,1.2626,1.2626,2021-12-13,1,0.00%,,,,
006195,国金量化多因子股票A,GJLHDYZGPA,25.7670,,0,2021-11-09,1.4895,1.4895,2022-11-08,1.8733,1.8733,2018-10-31,1,0.15%,1,0.15%,1,1.50%
002601,中银证券价值精选混合,ZYZQJZJXHH,25.0793,,0,2021-11-09,1.4183,1.4183,2022-11-08,1.774,1.774,2016-04-29,1,0.15%,1,0.15%,1,1.50%
014807,泰达宏利景气智选18个月持有混合A,TDHLJQZX18GYCYHHA,24.55,,0,2022-03-29,1,1,2022-11-08,1.2455,1.2455,2022-03-29,3,0.15%,1,0.15%,1,1.50%
014808,泰达宏利景气智选18个月持有混合C,TDHLJQZX18GYCYHHC,24.32,,0,2022-03-29,1,1,2022-11-08,1.2432,1.2432,2022-03-29,3,0.00%,,,,
016073,创金合信软件产业股票发起A,CJHXRJCYGPFQA,23.5,,0,2022-09-29,1,1,2022-11-08,1.235,1.235,2022-09-29,1,0.15%,1,0.15%,1,1.50%
016074,创金合信软件产业股票发起C,CJHXRJCYGPFQC,23.44,,0,2022-09-29,1,1,2022-11-08,1.2344,1.2344,2022-09-29,1,0.00%,,,,
011403,融通鑫新成长混合A,RTXXCZHHA,23.2196,,0,2021-11-09,1.0138,1.0138,2022-11-08,1.2492,1.2492,2021-10-08,1,0.15%,1,0.15%,1,1.50%
015687,银华乐享混合C,YHLXHHC,23.179205,,0,2022-05-16,0.8348,0.8348,2022-11-08,1.0283,1.0283,2022-05-16,1,0.00%,,,,
015561,长城双动力混合C,CCSDLHHC,22.97522,,0,2022-04-15,1.2631,1.2631,2022-11-08,1.5533,1.5533,2022-04-15,1,0.00%,,,,
015543,百嘉百益债券A,BJBYZQA,22.7,,0,2022-10-19,1,1,2022-11-08,1.227,1.227,2022-10-19,,0.80%,,,,
014647,融通先进制造混合A,RTXJZZHHA,22.66,,0,2022-02-22,1,1,2022-11-08,1.2266,1.2266,2022-02-22,1,0.15%,1,0.15%,1,1.50%
011404,融通鑫新成长混合C,RTXXCZHHC,22.6313,,0,2021-11-09,1.0132,1.0132,2022-11-08,1.2425,1.2425,2021-10-08,1,0.00%,,,,
015544,百嘉百益债券C,BJBYZQC,22.53,,0,2022-10-19,1,1,2022-11-08,1.2253,1.2253,2022-10-19,,0.00%,,,,
014412,招商核心竞争力混合A,ZSHXJZLHHA,22.29,,0,2022-04-13,1,1,2022-11-08,1.2229,1.2229,2022-04-13,1,0.15%,1,0.15%,1,1.50%
014648,融通先进制造混合C,RTXJZZHHC,22.19,,0,2022-02-22,1,1,2022-11-08,1.2219,1.2219,2022-02-22,1,0.00%,,,,
014854,嘉实中证半导体指数增强发起式A,JSZZBDTZSZQFQSA,22.11,,0,2022-04-22,1,1,2022-11-08,1.2211,1.2211,2022-04-22,1,0.10%,1,0.10%,1,1.00%
010434,红土创新医疗保健股票,HTCXYLBJGP,21.9798,,0,2021-11-09,0.8708,0.8708,2022-11-08,1.0622,1.0622,2020-10-20,1,0.15%,1,0.15%,1,1.50%
